"tag" "location" "sex" "year" "duration" "nclicks" "crate" "fyear" "locyear" "mean" "mean0.05" "mean0.1" "median" "mode" "medianIPI" "BLGor" "BLGro"
"30" "sw02_253a" "Gulf of Mexico" "UN" 2002 12125 14366 1.18482474226804 "2002" "Gulf of Mexico2002" 0.47809202898983 0.468645627718778 0.465500804148234 0.4599609375 0.448077316260931 NA NA NA
"31" "sw02_254a" "Gulf of Mexico" "F" 2002 41142 47351 1.15091633853483 "2002" "Gulf of Mexico2002" 0.455800728879742 0.447685004895113 0.445389713178153 0.44140625 0.430407223033909 3.25 9.5447 9.8245
"32" "sw02_254b" "Gulf of Mexico" "F" 2002 42275 34540 0.817031342400946 "2002" "Gulf of Mexico2002" 0.457138279493732 0.44924116635181 0.444784884789661 0.4384765625 0.421412670806559 3 9.183 9.51
"33" "sw02_254c" "Gulf of Mexico" "UN" 2002 42180 43407 1.02908961593172 "2002" "Gulf of Mexico2002" 0.447255020170943 0.438874916502595 0.435744299472089 0.43017578125 0.422957202024875 2.96875 9.137780273 9.4706875
"34" "sw03_156a" "Gulf of Mexico" "UN" 2003 17329 22542 1.30082520630158 "2003" "Gulf of Mexico2003" 0.478562618284346 0.468615716046162 0.46618562765126 0.462402343739996 0.452214475980006 NA NA NA
"35" "sw03_162a" "Gulf of Mexico" "UN" 2003 2970 4190 1.41077441077441 "2003" "Gulf of Mexico2003" 0.469820197301958 0.460010150531367 0.457569574982754 0.454589843760004 0.446456202791805 3.1354 9.3789 9.6804
"36" "sw03_163a" "Gulf of Mexico" "UN" 2003 22802 2867 0.125734584685554 "2003" "Gulf of Mexico2003" 0.515139523986985 0.503303356716454 0.497725710026384 0.4873046875 0.473926498172738 2.5833 8.5799 8.9858
"37" "sw03_164a" "Gulf of Mexico" "UN" 2003 48144 48702 1.01159022931206 "2003" "Gulf of Mexico2003" 0.508277226809366 0.4983380429179 0.494916313114641 0.488525390630002 0.480668672052271 2.4375 8.3687 8.8024
"38" "sw03_165a" "Gulf of Mexico" "UN" 2003 47260 48091 1.01758358019467 "2003" "Gulf of Mexico2003" 0.418624246567365 0.403698397008649 0.398049780693516 0.390625 0.386160731992108 NA NA NA
"39" "sw03_165b" "Gulf of Mexico" "UN" 2003 58773 77272 1.31475337314753 "2003" "Gulf of Mexico2003" 0.421610538588354 0.412811204310971 0.410063847027472 0.40625 0.397489545142032 2.583333333 8.579909722 8.985833333
"40" "sw03_167a" "Gulf of Mexico" "UN" 2003 9203 7629 0.828968814517005 "2003" "Gulf of Mexico2003" 0.739794113588779 0.723573262126001 0.716695398335041 0.69091796875 0.642038129449157 5.5104 12.8093 12.6681
"41" "sw03_173b" "Gulf of Mexico" "UN" 2003 3642 3966 1.08896210873147 "2003" "Gulf of Mexico2003" 0.612294112786452 0.605026223776224 0.601600615753856 0.591796875 0.575839643600824 2.625 8.640234375 9.03825
"42" "sw03_197a" "North Atlantic Delaware" "M" 2003 6825 5561 0.814798534798535 "2003" "North Atlantic Delaware2003" 0.772856620855596 0.75792108933494 0.754887086191763 0.74951171875 0.74846435902376 6.4062 14.1002 13.7951
"43" "sw03_197b" "North Atlantic Delaware" "M" 2003 8447 3650 0.432106073162069 "2003" "North Atlantic Delaware2003" 0.688071071222657 0.665391690522723 0.655741366754227 0.63916015625 0.595818715058454 5.3121 12.5088 12.406
"44" "sw03_201b" "North Atlantic Delaware" "M" 2003 9967 5922 0.594160730410354 "2003" "North Atlantic Delaware2003" 0.646266652116864 0.631985288677782 0.630237906870214 0.6318359375 0.648459914750914 NA NA NA
"45" "sw03_202a" "North Atlantic Delaware" "M" 2003 3093 2355 0.761396702230844 "2003" "North Atlantic Delaware2003" 0.517459282011746 0.501404812461458 0.500220752417657 0.497680664059999 0.449791934284963 2.8958 9.0323 9.3979
"46" "sw03_206a" "North Atlantic Delaware" "M" 2003 13426 15323 1.14129301355579 "2003" "North Atlantic Delaware2003" 0.483373968772054 0.469071110146919 0.467909981877981 0.47021484375 0.526985976032564 2.3542 8.2481 8.6975
"47" "sw03_206c" "North Atlantic Delaware" "M" 2003 8846 9134 1.03255708794936 "2003" "North Atlantic Delaware2003" 0.562707759900335 0.543865525667757 0.543426123591325 0.552703857421989 0.565434559578989 2.8438 8.9569 9.3134
"48" "sw03_207a" "North Atlantic Delaware" "M" 2003 14327 15787 1.10190549312487 "2003" "North Atlantic Delaware2003" 0.494907638714043 0.481315345478705 0.480257549440445 0.484375 0.506268715450238 2.73958333333333 8.80610926649305 9.18239583333333
